"Field","Value"
"Superior Method","Multiplicative Decomposition"
"Data Access Date","2026-05-30"
"Latest Available Observation","March 2026"
"Forecast Target Period","April 2026"
"Forecasted Value (Thousand $)","522,533"
"MAPE (%)","14.67"
"MAD (Thousand $)","50106"
"Tracking Signal","6.7599"
